¿¬µµ,10³â´ë,±¸´Ü,Å¸¼®´çµæÁ¡,Å¸À²,Ãâ·çÀ²,ÀåÅ¸·Â,OPS
1982,a,MBC,0.137,0.282,0.354,0.41,0.764
1982,a,»ï¼º,0.141,0.266,0.347,0.392,0.739
1982,a,OB,0.129,0.283,0.349,0.412,0.762
1982,a,ÇØÅÂ,0.125,0.261,0.328,0.408,0.736
1982,a,·Ôµ¥,0.115,0.256,0.344,0.373,0.717
1982,a,»ï¹Ì,0.102,0.24,0.304,0.345,0.648
1983,a,»ï¼º,0.116,0.263,0.333,0.393,0.726
1983,a,ÇØÅÂ,0.113,0.267,0.332,0.385,0.717
1983,a,MBC,0.109,0.256,0.323,0.354,0.677
1983,a,OB,0.111,0.259,0.324,0.362,0.687
1983,a,·Ôµ¥,0.099,0.244,0.314,0.366,0.68
1983,a,»ï¹Ì,0.092,0.245,0.312,0.344,0.656
1984,a,»ï¼º,0.116,0.27,0.343,0.396,0.739
1984,a,·Ôµ¥,0.109,0.257,0.331,0.377,0.708
1984,a,OB,0.104,0.257,0.333,0.36,0.693
1984,a,ÇØÅÂ,0.099,0.248,0.317,0.365,0.682
1984,a,MBC,0.1,0.253,0.322,0.355,0.677
1984,a,»ï¹Ì,0.089,0.237,0.312,0.339,0.651
1985,a,»ï¼º,0.13,0.276,0.355,0.417,0.772
1985,a,ÇØÅÂ,0.115,0.272,0.337,0.402,0.74
1985,a,»ï¹Ì/Ã»º¸,0.1,0.252,0.328,0.36,0.688
1985,a,OB,0.113,0.26,0.331,0.37,0.701
1985,a,·Ôµ¥,0.103,0.256,0.327,0.377,0.704
1985,a,MBC,0.085,0.246,0.313,0.322,0.635
1986,a,»ï¼º,0.115,0.276,0.345,0.398,0.744
1986,a,ÇØÅÂ,0.117,0.259,0.325,0.39,0.715
1986,a,MBC,0.105,0.265,0.33,0.353,0.682
1986,a,ºù±×·¹,0.083,0.236,0.323,0.325,0.647
1986,a,OB,0.091,0.249,0.319,0.331,0.65
1986,a,·Ôµ¥,0.091,0.248,0.316,0.333,0.649
1986,a,Ã»º¸,0.081,0.219,0.293,0.322,0.615
1987,a,»ï¼º,0.138,0.3,0.368,0.444,0.812
1987,a,·Ôµ¥,0.104,0.268,0.343,0.36,0.703
1987,a,ºù±×·¹,0.101,0.274,0.342,0.368,0.71
1987,a,ÇØÅÂ,0.096,0.252,0.321,0.36,0.681
1987,a,OB,0.103,0.261,0.328,0.34,0.669
1987,a,Ã»º¸,0.1,0.242,0.323,0.34,0.664
1987,a,MBC,0.097,0.258,0.32,0.342,0.662
1988,a,ÇØÅÂ,0.124,0.283,0.351,0.423,0.774
1988,a,»ï¼º,0.123,0.278,0.351,0.399,0.75
1988,a,ºù±×·¹,0.123,0.266,0.334,0.387,0.721
1988,a,·Ôµ¥,0.118,0.27,0.339,0.377,0.717
1988,a,ÅÂÆò¾ç,0.098,0.261,0.328,0.368,0.696
1988,a,MBC,0.099,0.26,0.324,0.346,0.67
1988,a,OB,0.103,0.258,0.321,0.349,0.67
1989,a,ºù±×·¹,0.128,0.276,0.346,0.411,0.757
1989,a,»ï¼º,0.127,0.272,0.341,0.397,0.737
1989,a,ÇØÅÂ,0.11,0.255,0.339,0.364,0.703
1989,a,ÅÂÆò¾ç,0.107,0.247,0.335,0.345,0.679
1989,a,MBC,0.108,0.252,0.335,0.338,0.673
1989,a,·Ôµ¥,0.091,0.247,0.337,0.327,0.664
1989,a,OB,0.1,0.247,0.319,0.335,0.653
1990,b,ºù±×·¹,0.132,0.27,0.355,0.411,0.766
1990,b,»ï¼º,0.13,0.263,0.341,0.411,0.752
1990,b,ÇØÅÂ,0.117,0.27,0.352,0.392,0.744
1990,b,LG,0.124,0.271,0.352,0.375,0.726
1990,b,ÅÂÆò¾ç,0.108,0.247,0.328,0.341,0.669
1990,b,·Ôµ¥,0.1,0.245,0.331,0.335,0.666
1990,b,OB,0.09,0.231,0.31,0.329,0.639
1991,b,ºù±×·¹,0.132,0.274,0.353,0.434,0.787
1991,b,ÇØÅÂ,0.128,0.259,0.35,0.418,0.768
1991,b,»ï¼º,0.131,0.272,0.357,0.405,0.761
1991,b,½Ö¹æ¿ï,0.117,0.253,0.338,0.379,0.717
1991,b,·Ôµ¥,0.121,0.26,0.339,0.378,0.717
1991,b,OB,0.105,0.25,0.322,0.35,0.672
1991,b,ÅÂÆò¾ç,0.091,0.238,0.314,0.338,0.652
1991,b,LG,0.101,0.244,0.317,0.341,0.658
1992,b,ÇØÅÂ,0.143,0.272,0.365,0.425,0.789
1992,b,·Ôµ¥,0.135,0.288,0.366,0.417,0.782
1992,b,ºù±×·¹,0.135,0.267,0.351,0.431,0.782
1992,b,»ï¼º,0.129,0.265,0.349,0.404,0.752
1992,b,OB,0.113,0.259,0.332,0.393,0.725
1992,b,½Ö¹æ¿ï,0.107,0.249,0.341,0.37,0.711
1992,b,LG,0.118,0.257,0.331,0.384,0.715
1992,b,ÅÂÆò¾ç,0.109,0.256,0.328,0.38,0.709
1993,b,»ï¼º,0.123,0.268,0.344,0.408,0.752
1993,b,ÇØÅÂ,0.109,0.251,0.33,0.368,0.698
1993,b,LG,0.105,0.256,0.323,0.366,0.689
1993,b,OB,0.1,0.258,0.328,0.36,0.688
1993,b,ºù±×·¹,0.096,0.238,0.317,0.347,0.664
1993,b,·Ôµ¥,0.097,0.248,0.319,0.328,0.647
1993,b,ÅÂÆò¾ç,0.075,0.227,0.293,0.302,0.595
1993,b,½Ö¹æ¿ï,0.081,0.225,0.302,0.301,0.603
1994,b,LG,0.134,0.282,0.358,0.409,0.767
1994,b,»ï¼º,0.113,0.26,0.34,0.386,0.726
1994,b,ÇØÅÂ,0.118,0.271,0.328,0.388,0.715
1994,b,·Ôµ¥,0.104,0.257,0.323,0.357,0.68
1994,b,ÅÂÆò¾ç,0.105,0.244,0.316,0.365,0.681
1994,b,½Ö¹æ¿ï,0.105,0.248,0.316,0.359,0.675
1994,b,ÇÑÈ­,0.103,0.247,0.324,0.345,0.669
1994,b,OB,0.102,0.246,0.313,0.348,0.662
1995,b,OB,0.13,0.266,0.326,0.399,0.725
1995,b,·Ôµ¥,0.122,0.255,0.333,0.364,0.696
1995,b,LG,0.111,0.257,0.334,0.372,0.706
1995,b,»ï¼º,0.117,0.25,0.324,0.374,0.699
1995,b,ÇÑÈ­,0.107,0.249,0.323,0.38,0.703
1995,b,½Ö¹æ¿ï,0.101,0.254,0.32,0.364,0.683
1995,b,ÇØÅÂ,0.093,0.242,0.309,0.345,0.654
1995,b,ÅÂÆò¾ç,0.1,0.234,0.305,0.345,0.65
1996,b,·Ôµ¥,0.118,0.274,0.34,0.393,0.733
1996,b,ÇØÅÂ,0.107,0.245,0.329,0.366,0.695
1996,b,½Ö¹æ¿ï,0.113,0.264,0.34,0.369,0.709
1996,b,»ï¼º,0.108,0.249,0.327,0.37,0.697
1996,b,LG,0.104,0.246,0.33,0.364,0.694
1996,b,ÇÑÈ­,0.11,0.245,0.327,0.372,0.699
1996,b,Çö´ë,0.104,0.243,0.318,0.371,0.689
1996,b,OB,0.096,0.242,0.305,0.355,0.66
1997,b,»ï¼º,0.145,0.277,0.356,0.462,0.819
1997,b,ÇØÅÂ,0.128,0.258,0.34,0.408,0.748
1997,b,½Ö¹æ¿ï,0.126,0.269,0.351,0.414,0.766
1997,b,LG,0.122,0.267,0.343,0.394,0.737
1997,b,OB,0.107,0.254,0.324,0.361,0.685
1997,b,ÇÑÈ­,0.103,0.253,0.325,0.381,0.707
1997,b,Çö´ë,0.106,0.247,0.327,0.361,0.688
1997,b,·Ôµ¥,0.094,0.237,0.305,0.345,0.65
1998,b,Çö´ë,0.132,0.27,0.344,0.434,0.778
1998,b,»ï¼º,0.126,0.268,0.346,0.428,0.773
1998,b,LG,0.126,0.267,0.339,0.401,0.74
1998,b,½Ö¹æ¿ï,0.112,0.261,0.334,0.391,0.725
1998,b,·Ôµ¥,0.112,0.255,0.329,0.381,0.709
1998,b,OB,0.11,0.256,0.317,0.383,0.7
1998,b,ÇÑÈ­,0.107,0.25,0.316,0.392,0.708
1998,b,ÇØÅÂ,0.105,0.258,0.325,0.376,0.701
1999,b,ÇÑÈ­,0.144,0.283,0.353,0.484,0.838
1999,b,ÇØÅÂ,0.146,0.278,0.362,0.467,0.829
1999,b,·Ôµ¥,0.145,0.291,0.363,0.461,0.824
1999,b,»ï¼º,0.142,0.273,0.352,0.46,0.812
1999,b,µÎ»ê,0.138,0.285,0.355,0.438,0.793
1999,b,LG,0.144,0.281,0.35,0.442,0.792
1999,b,Çö´ë,0.133,0.272,0.359,0.418,0.777
1999,b,½Ö¹æ¿ï,0.103,0.248,0.32,0.358,0.678
2000,c,Çö´ë,0.148,0.278,0.365,0.483,0.849
2000,c,µÎ»ê,0.133,0.289,0.359,0.441,0.8
2000,c,»ï¼º,0.143,0.269,0.348,0.447,0.795
2000,c,ÇÑÈ­,0.131,0.276,0.346,0.457,0.803
2000,c,LG,0.13,0.273,0.356,0.414,0.77
2000,c,·Ôµ¥,0.116,0.26,0.334,0.385,0.719
2000,c,SK,0.118,0.26,0.332,0.383,0.716
2000,c,ÇØÅÂ,0.114,0.252,0.333,0.363,0.696
2001,c,»ï¼º,0.14,0.277,0.36,0.447,0.807
2001,c,·Ôµ¥,0.135,0.28,0.366,0.425,0.791
2001,c,µÎ»ê,0.138,0.276,0.359,0.421,0.78
2001,c,ÇÑÈ­,0.125,0.275,0.357,0.426,0.783
2001,c,Çö´ë,0.136,0.268,0.363,0.429,0.791
2001,c,ÇØÅÂ/KIA,0.132,0.278,0.353,0.428,0.782
2001,c,LG,0.126,0.276,0.363,0.391,0.754
2001,c,SK,0.117,0.26,0.337,0.391,0.728
2002,c,»ï¼º,0.146,0.284,0.36,0.472,0.831
2002,c,KIA,0.124,0.269,0.344,0.402,0.746
2002,c,SK,0.121,0.27,0.339,0.433,0.772
2002,c,Çö´ë,0.128,0.261,0.342,0.432,0.774
2002,c,ÇÑÈ­,0.119,0.256,0.328,0.42,0.748
2002,c,µÎ»ê,0.115,0.261,0.331,0.396,0.726
2002,c,LG,0.114,0.261,0.332,0.385,0.717
2002,c,·Ôµ¥,0.093,0.245,0.305,0.356,0.661
2003,c,Çö´ë,0.136,0.286,0.374,0.456,0.829
2003,c,»ï¼º,0.147,0.284,0.36,0.482,0.842
2003,c,KIA,0.128,0.272,0.349,0.416,0.765
2003,c,SK,0.125,0.272,0.35,0.431,0.781
2003,c,µÎ»ê,0.109,0.276,0.346,0.39,0.736
2003,c,ÇÑÈ­,0.111,0.254,0.343,0.393,0.736
2003,c,LG,0.103,0.249,0.32,0.378,0.697
2003,c,·Ôµ¥,0.098,0.256,0.317,0.365,0.682
2004,c,Çö´ë,0.13,0.275,0.37,0.413,0.783
2004,c,KIA,0.124,0.267,0.354,0.419,0.773
2004,c,»ï¼º,0.124,0.269,0.346,0.411,0.757
2004,c,SK,0.125,0.272,0.357,0.411,0.768
2004,c,ÇÑÈ­,0.123,0.268,0.34,0.423,0.764
2004,c,µÎ»ê,0.119,0.268,0.342,0.381,0.723
2004,c,LG,0.116,0.259,0.337,0.379,0.716
2004,c,·Ôµ¥,0.105,0.252,0.327,0.364,0.691
2005,c,ÇÑÈ­,0.128,0.27,0.341,0.434,0.775
2005,c,»ï¼º,0.123,0.268,0.357,0.391,0.749
2005,c,SK,0.118,0.269,0.355,0.403,0.757
2005,c,Çö´ë,0.115,0.256,0.344,0.399,0.743
2005,c,LG,0.126,0.26,0.327,0.389,0.717
2005,c,µÎ»ê,0.121,0.27,0.351,0.365,0.715
2005,c,KIA,0.112,0.26,0.337,0.38,0.717
2005,c,·Ôµ¥,0.106,0.253,0.322,0.372,0.694
2006,c,Çö´ë,0.114,0.27,0.35,0.384,0.734
2006,c,ÇÑÈ­,0.107,0.253,0.331,0.38,0.711
2006,c,SK,0.106,0.254,0.329,0.375,0.704
2006,c,»ï¼º,0.113,0.255,0.341,0.36,0.701
2006,c,KIA,0.1,0.255,0.325,0.356,0.681
2006,c,µÎ»ê,0.097,0.258,0.328,0.347,0.676
2006,c,·Ôµ¥,0.102,0.25,0.327,0.357,0.684
2006,c,LG,0.097,0.246,0.306,0.354,0.661
2007,c,SK,0.124,0.264,0.341,0.403,0.744
2007,c,µÎ»ê,0.119,0.263,0.343,0.383,0.726
2007,c,LG,0.108,0.268,0.338,0.374,0.713
2007,c,·Ôµ¥,0.109,0.27,0.34,0.377,0.717
2007,c,Çö´ë,0.108,0.271,0.346,0.384,0.729
2007,c,ÇÑÈ­,0.111,0.254,0.342,0.376,0.718
2007,c,»ï¼º,0.102,0.254,0.341,0.365,0.706
2007,c,KIA,0.104,0.257,0.33,0.364,0.694
2008,c,SK,0.126,0.282,0.361,0.404,0.765
2008,c,·Ôµ¥,0.128,0.282,0.357,0.405,0.761
2008,c,µÎ»ê,0.13,0.276,0.354,0.378,0.732
2008,c,ÇÑÈ­,0.121,0.254,0.333,0.395,0.728
2008,c,»ï¼º,0.115,0.258,0.344,0.376,0.72
2008,c,È÷¾î·ÎÁî,0.103,0.266,0.331,0.368,0.698
2008,c,KIA,0.104,0.26,0.336,0.352,0.689
2008,c,LG,0.099,0.256,0.321,0.353,0.674
2009,c,SK,0.136,0.285,0.369,0.453,0.822
2009,c,»ï¼º,0.131,0.275,0.364,0.432,0.796
2009,c,µÎ»ê,0.137,0.28,0.362,0.42,0.781
2009,c,È÷¾î·ÎÁî,0.131,0.272,0.356,0.434,0.789
2009,c,ÇÑÈ­,0.125,0.269,0.348,0.426,0.774
2009,c,KIA,0.135,0.267,0.357,0.427,0.785
2009,c,LG,0.128,0.278,0.36,0.413,0.773
2009,c,·Ôµ¥,0.126,0.277,0.35,0.423,0.773
2010,d,µÎ»ê,0.139,0.281,0.365,0.44,0.805
2010,d,·Ôµ¥,0.147,0.288,0.352,0.461,0.813
2010,d,»ï¼º,0.129,0.272,0.368,0.406,0.774
2010,d,LG,0.131,0.276,0.349,0.411,0.759
2010,d,SK,0.135,0.274,0.355,0.412,0.768
2010,d,KIA,0.118,0.26,0.347,0.383,0.73
2010,d,³Ø¼¾,0.111,0.262,0.34,0.374,0.714
2010,d,ÇÑÈ­,0.108,0.244,0.331,0.359,0.69
2011,d,·Ôµ¥,0.136,0.288,0.358,0.422,0.781
2011,d,KIA,0.122,0.269,0.357,0.395,0.752
2011,d,µÎ»ê,0.118,0.271,0.354,0.388,0.742
2011,d,»ï¼º,0.121,0.259,0.343,0.376,0.719
2011,d,LG,0.112,0.266,0.338,0.377,0.716
2011,d,SK,0.114,0.263,0.34,0.385,0.726
2011,d,ÇÑÈ­,0.112,0.255,0.338,0.362,0.7
2011,d,³Ø¼¾,0.103,0.245,0.323,0.353,0.676
2012,d,»ï¼º,0.122,0.272,0.353,0.389,0.742
2012,d,SK,0.113,0.258,0.333,0.384,0.717
2012,d,KIA,0.108,0.256,0.343,0.347,0.69
2012,d,³Ø¼¾,0.109,0.243,0.325,0.37,0.696
2012,d,LG,0.105,0.261,0.332,0.354,0.687
2012,d,ÇÑÈ­,0.101,0.249,0.338,0.351,0.69
2012,d,·Ôµ¥,0.101,0.263,0.326,0.364,0.69
2012,d,µÎ»ê,0.106,0.26,0.322,0.352,0.673
2013,d,µÎ»ê,0.136,0.289,0.37,0.42,0.79
2013,d,»ï¼º,0.133,0.283,0.359,0.416,0.776
2013,d,³Ø¼¾,0.129,0.272,0.358,0.413,0.771
2013,d,SK,0.119,0.265,0.346,0.406,0.752
2013,d,LG,0.125,0.282,0.355,0.386,0.741
2013,d,KIA,0.116,0.261,0.349,0.373,0.722
2013,d,·Ôµ¥,0.112,0.261,0.345,0.36,0.705
2013,d,ÇÑÈ­,0.098,0.259,0.343,0.348,0.69
2013,d,NC,0.105,0.244,0.32,0.365,0.685
2014,d,³Ø¼¾,0.163,0.298,0.382,0.509,0.891
2014,d,»ï¼º,0.158,0.301,0.377,0.473,0.85
2014,d,µÎ»ê,0.135,0.293,0.366,0.431,0.798
2014,d,SK,0.145,0.291,0.362,0.434,0.795
2014,d,·Ôµ¥,0.138,0.287,0.369,0.436,0.805
2014,d,NC,0.146,0.282,0.353,0.447,0.8
2014,d,KIA,0.132,0.288,0.355,0.437,0.792
2014,d,LG,0.132,0.279,0.361,0.4,0.761
2014,d,ÇÑÈ­,0.122,0.283,0.359,0.415,0.774
2015,d,»ï¼º,0.155,0.302,0.378,0.469,0.847
2015,d,³Ø¼¾,0.156,0.298,0.372,0.486,0.858
2015,d,µÎ»ê,0.14,0.29,0.37,0.435,0.804
2015,d,NC,0.147,0.289,0.367,0.455,0.822
2015,d,·Ôµ¥,0.135,0.28,0.356,0.446,0.802
2015,d,SK,0.124,0.272,0.349,0.41,0.759
2015,d,kt,0.12,0.273,0.345,0.402,0.748
2015,d,ÇÑÈ­,0.126,0.271,0.36,0.405,0.764
2015,d,LG,0.117,0.269,0.339,0.399,0.738
2015,d,KIA,0.119,0.251,0.326,0.392,0.718
2016,d,µÎ»ê,0.16,0.298,0.378,0.473,0.851
2016,d,NC,0.147,0.291,0.375,0.45,0.824
2016,d,³Ø¼¾,0.143,0.293,0.368,0.44,0.808
2016,d,»ï¼º,0.145,0.293,0.367,0.439,0.806
2016,d,·Ôµ¥,0.134,0.288,0.37,0.422,0.793
2016,d,KIA,0.141,0.286,0.358,0.452,0.81
2016,d,LG,0.136,0.29,0.361,0.417,0.779
2016,d,SK,0.133,0.291,0.356,0.454,0.811
2016,d,ÇÑÈ­,0.141,0.289,0.362,0.431,0.792
2016,d,kt,0.12,0.276,0.345,0.394,0.738
2017,d,µÎ»ê,0.146,0.294,0.369,0.459,0.828
2017,d,KIA,0.155,0.302,0.37,0.469,0.84
2017,d,NC,0.136,0.293,0.365,0.443,0.808
2017,d,³Ø¼¾,0.138,0.29,0.357,0.437,0.794
2017,d,SK,0.137,0.271,0.341,0.465,0.806
2017,d,·Ôµ¥,0.131,0.285,0.356,0.433,0.789
2017,d,ÇÑÈ­,0.13,0.287,0.351,0.435,0.786
2017,d,»ï¼º,0.133,0.279,0.34,0.428,0.768
2017,d,LG,0.125,0.281,0.348,0.4,0.748
2017,d,kt,0.119,0.276,0.332,0.41,0.742
2018,d,µÎ»ê,0.161,0.309,0.376,0.486,0.862
2018,d,KIA,0.151,0.295,0.367,0.457,0.824
2018,d,·Ôµ¥,0.142,0.289,0.356,0.471,0.827
2018,d,SK,0.146,0.281,0.356,0.473,0.829
2018,d,³Ø¼¾,0.143,0.288,0.355,0.448,0.802
2018,d,LG,0.139,0.293,0.353,0.445,0.797
2018,d,»ï¼º,0.135,0.288,0.355,0.432,0.787
2018,d,KT,0.135,0.275,0.34,0.456,0.796
2018,d,ÇÑÈ­,0.132,0.275,0.341,0.422,0.763
2018,d,NC,0.12,0.261,0.329,0.404,0.733
2019,d,Å°¿ò,0.138,0.282,0.354,0.414,0.768
2019,d,µÎ»ê,0.13,0.278,0.355,0.389,0.745
2019,d,NC,0.12,0.278,0.345,0.416,0.762
2019,d,KT,0.117,0.277,0.344,0.385,0.729
2019,d,LG,0.116,0.267,0.333,0.378,0.711
2019,d,SK,0.118,0.262,0.334,0.384,0.718
2019,d,KIA,0.11,0.264,0.336,0.369,0.706
2019,d,»ï¼º,0.112,0.256,0.329,0.389,0.718
2019,d,ÇÑÈ­,0.111,0.256,0.324,0.362,0.686
2019,d,·Ôµ¥,0.105,0.25,0.316,0.358,0.674
